Date;Time;Batch;PN;SN;Software_Version;Hardware_Version;TB_Version;Operator;ID;MAC_Addr;Name group;Name Test;Limit Low;Value;Limit High;Result
2024/03/19;20h24m45s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/24;05h06m00s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/24;07h01m57s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/24;11h22m26s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/24;15h28m50s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/24;15h47m56s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/24;15h50m53s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/24;16h01m04s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/24;16h02m17s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/24;16h07m12s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/25;06h09m23s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/25;08h42m46s ;AAAAAAA;;;;;;;;;LED Test;False;Check LED;;0;
2024/03/25;08h43m10s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/25;08h43m40s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/25;08h44m45s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/25;08h45m23s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/25;08h50m06s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;09h13m58s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;09h14m26s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;09h14m56s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;09h15m57s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;09h16m15s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;09h16m44s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;09h17m15s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;09h27m40s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;09h28m19s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;09h29m19s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;09h31m42s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;09h33m00s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;09h34m58s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;09h35m16s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;09h35m26s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;09h36m18s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;09h36m57s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;09h42m27s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;09h51m23s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;09h52m50s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;10h13m47s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;10h18m39s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;10h26m46s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;10h38m21s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;10h40m20s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;10h47m18s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;10h48m24s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;10h52m16s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;11h28m00s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;11h28m46s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;11h30m38s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;12h17m17s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;12h19m04s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;12h27m56s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;12h29m33s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;12h43m22s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;12h45m50s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;12h49m23s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/27;12h54m12s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/28;02h04m02s ;AAAAAAA;;;;;;;;;LED Test;True;Check LED;;1;
2024/03/28;06h44m43s ;AAAAAAA;;;;;;;;;SN;False;Generate SN;;0;
2024/03/28;06h50m13s ;AAAAAAA;;2313241320001;;;;;;;SN;True;Generate SN;2313241320001;2313241320001;2313241320001
2024/03/28;06h51m14s ;AAAAAAA;;2313241320001;;;;;;;SN;True;Generate SN;2313241320001;2313241320001;2313241320001
2024/03/28;06h52m30s ;AAAAAAA;;2313241320001;;;;;;;SN;True;Generate SN;2313241320001;2313241320001;2313241320001
2024/03/28;06h53m42s ;AAAAAAA;;2313241320001;;;;;;;SN;True;Generate SN;2313241320001;2313241320001;2313241320001
2024/03/28;06h59m06s ;AAAAAAA;;2313241320001;;;;;;;SN;True;Generate SN;2313241320001;2313241320001;2313241320001
2024/03/28;07h04m51s ;AAAAAAA;;2313241320001;;;;;;;SN;True;Generate SN;2313241320001;2313241320001;2313241320001
2024/03/28;07h06m03s ;AAAAAAA;;2313241320001;;;;;;;SN;True;Generate SN;2313241320001;2313241320001;2313241320001
2024/03/28;07h08m04s ;AAAAAAA;;2313241320001;;;;;;;SN;True;Generate SN;2313241320001;2313241320001;2313241320001
2024/03/28;07h10m44s ;AAAAAAA;;2313241320002;;;;;;;SN;True;Generate SN;2313241320002;2313241320002;2313241320002
2024/03/28;07h11m05s ;AAAAAAA;;2313241320003;;;;;;;SN;True;Generate SN;2313241320003;2313241320003;2313241320003
